date,outbound,inbound
2025-04-10,5059,2871
2025-04-11,4882,3395
2025-04-12,4946,3057
2025-04-13,5734,3234
2025-04-14,5415,3135
2025-04-15,5679,3469
2025-04-16,5258,3366
2025-04-17,4867,2776
2025-04-18,5007,2961
2025-04-19,4588,3233
2025-04-20,5688,3161
2025-04-21,5780,3427
2025-04-22,5974,3117
2025-04-23,5781,3084
2025-04-24,5122,3316
2025-04-25,5294,2811
2025-04-26,5024,2816
2025-04-27,5654,3099
2025-04-28,5809,3462
2025-04-29,6054,3300
2025-04-30,5782,3396
2025-05-01,5342,2839
2025-05-02,4706,3105
2025-05-03,5227,2798
2025-05-04,5394,3509
2025-05-05,6072,3478
2025-05-06,5335,3370
2025-05-07,5273,3560
2025-05-08,5390,2843
2025-05-09,5571,2848
2025-05-10,5361,3016
2025-05-11,5299,3227
2025-05-12,5389,3085
2025-05-13,6218,3362
2025-05-14,5702,3418
2025-05-15,5472,2861
2025-05-16,5061,3217
2025-05-17,5133,3122
2025-05-18,6405,3156
2025-05-19,5909,3450
2025-05-20,5961,3925
2025-05-21,5704,3579
2025-05-22,5133,3208
2025-05-23,5337,2688
2025-05-24,5032,3356
2025-05-25,5722,3476
2025-05-26,6010,3471
2025-05-27,6389,3450
2025-05-28,5880,3361
2025-05-29,4959,2899
2025-05-30,4656,2884
2025-05-31,5575,3190
2025-06-01,5363,2911
2025-06-02,5542,3445
2025-06-03,5836,3590
2025-06-04,6148,3426
2025-06-05,4910,2911
2025-06-06,4808,2749
2025-06-07,4967,3262
2025-06-08,5184,3035
2025-06-09,5597,3717
2025-06-10,5596,3478
2025-06-11,5644,3629
2025-06-12,5244,3069
2025-06-13,4877,2759
2025-06-14,4684,3222
2025-06-15,5950,3283
2025-06-16,5568,3812
2025-06-17,6148,3759
2025-06-18,5474,3374
2025-06-19,5565,3070
2025-06-20,5383,3004
2025-06-21,4931,3096
2025-06-22,5010,3117
2025-06-23,6189,3697
2025-06-24,6642,3509
2025-06-25,5935,3342
2025-06-26,5427,3059
2025-06-27,5356,3052
2025-06-28,5438,2927
2025-06-29,5353,3327
2025-06-30,5797,4089
2025-07-01,6276,3584
2025-07-02,5781,3347
2025-07-03,5788,2841
2025-07-04,4913,3023
2025-07-05,5448,2850
2025-07-06,5718,3232
2025-07-07,5970,3573
2025-07-08,6460,3256
2025-07-09,6042,3472
2025-07-10,5105,3242
2025-07-11,5330,2761
2025-07-12,5649,3000
2025-07-13,5590,2948
2025-07-14,5948,3865
2025-07-15,5920,3675
2025-07-16,5848,3412
2025-07-17,5626,3156
2025-07-18,4907,3253
2025-07-19,4847,3067
2025-07-20,5531,3388
2025-07-21,5622,3861
2025-07-22,6292,3547
2025-07-23,5738,3236
2025-07-24,4908,3030
2025-07-25,5061,3320
2025-07-26,5207,3111
2025-07-27,5792,3228
2025-07-28,6007,3759
2025-07-29,6710,3823
2025-07-30,5725,3367
2025-07-31,5430,3008
2025-08-01,5149,2727
2025-08-02,5194,2741
2025-08-03,5714,3283
2025-08-04,6227,3392
2025-08-05,6565,4002
2025-08-06,5424,3480
2025-08-07,5309,2821
2025-08-08,5060,3332
2025-08-09,5574,3139
2025-08-10,5579,3483
2025-08-11,5510,3714
2025-08-12,6203,3696
2025-08-13,5898,3580
2025-08-14,5530,3264
2025-08-15,4896,2834
2025-08-16,5822,3187
2025-08-17,5602,3554
2025-08-18,6036,3543
2025-08-19,5921,3754
2025-08-20,5643,3567
2025-08-21,5124,3586
2025-08-22,5104,3011
2025-08-23,5033,3063
2025-08-24,6330,3333
2025-08-25,5540,3572
2025-08-26,5866,3196
2025-08-27,5816,3361
2025-08-28,5707,3290
2025-08-29,5112,3067
2025-08-30,5537,2968
2025-08-31,5431,3231
2025-09-01,6138,3528
2025-09-02,6742,3498
2025-09-03,5660,3394
2025-09-04,5644,3129
2025-09-05,5312,3255
2025-09-06,4673,3338
2025-09-07,5565,3557
2025-09-08,6474,3691
2025-09-09,6273,3523
2025-09-10,5601,3696
2025-09-11,5740,3181
2025-09-12,5120,3088
2025-09-13,5471,3410
2025-09-14,5869,3394
2025-09-15,5813,3663
2025-09-16,6484,3389
2025-09-17,5676,3608
2025-09-18,5155,3055
2025-09-19,5013,3292
2025-09-20,5273,3112
2025-09-21,5802,2937
2025-09-22,5931,3548
2025-09-23,6484,3633
2025-09-24,6068,3615
2025-09-25,5352,3392
2025-09-26,5559,3031
2025-09-27,5739,3359
2025-09-28,5754,2758
2025-09-29,6112,3484
2025-09-30,5743,3464
2025-10-01,5884,3274
2025-10-02,5487,3457
2025-10-03,5380,3270
2025-10-04,5354,3008
2025-10-05,5871,3634
2025-10-06,6651,3654
2025-10-07,6130,3609
2025-10-08,5873,3393
2025-10-09,5196,3117
2025-10-10,5317,3206
2025-10-11,5712,3300
2025-10-12,5286,3453
2025-10-13,6005,3231
2025-10-14,6314,3759
2025-10-15,6289,3652
2025-10-16,5717,3145
2025-10-17,5432,3127
2025-10-18,5365,2804
2025-10-19,5970,3167
2025-10-20,6523,3583
2025-10-21,5804,3645
2025-10-22,6267,3616
2025-10-23,5587,3049
2025-10-24,5189,3057
2025-10-25,4714,3086
2025-10-26,5425,3525
2025-10-27,6742,3939
2025-10-28,6124,4058
2025-10-29,5737,3239
2025-10-30,5494,3284
2025-10-31,5138,2910
2025-11-01,5498,3178
2025-11-02,6309,3511
2025-11-03,6070,3678
2025-11-04,6391,3711
2025-11-05,5732,3856
2025-11-06,6101,3445
2025-11-07,5433,3084
2025-11-08,5150,3203
2025-11-09,6139,3608
2025-11-10,6620,3791
2025-11-11,6407,3643
2025-11-12,5599,3212
2025-11-13,6194,3070
2025-11-14,5483,3175
2025-11-15,5840,2848
2025-11-16,5716,3410
2025-11-17,6155,3585
2025-11-18,6406,3935
2025-11-19,6438,3310
2025-11-20,5715,2928
2025-11-21,5027,3069
2025-11-22,5581,3339
2025-11-23,6384,3661
2025-11-24,6308,3501
2025-11-25,6426,3836
2025-11-26,5740,3358
2025-11-27,5266,3172
2025-11-28,5227,3274
2025-11-29,5419,3363
2025-11-30,5941,3255
2025-12-01,6352,3785
2025-12-02,6882,3375
2025-12-03,6150,3547
2025-12-04,6020,3101
2025-12-05,5420,3005
2025-12-06,5965,2971
2025-12-07,5362,3572
2025-12-08,6137,3808
2025-12-09,6710,3618
2025-12-10,6095,3670
2025-12-11,5994,3388
2025-12-12,5562,3148
2025-12-13,5828,3665
2025-12-14,6121,3300
2025-12-15,6533,3707
2025-12-16,6877,3687
2025-12-17,6456,3527
2025-12-18,6027,3374
2025-12-19,5466,3122
2025-12-20,5384,3068
2025-12-21,5754,3500
2025-12-22,6570,3948
2025-12-23,5711,3959
2025-12-24,5782,3649
2025-12-25,5454,3202
2025-12-26,5400,3225
2025-12-27,4783,3464
2025-12-28,6343,3721
2025-12-29,6538,3790
2025-12-30,7052,3704
2025-12-31,6507,3575
2026-01-01,6066,3511
2026-01-02,6163,3332
2026-01-03,5415,2902
2026-01-04,5528,3621
2026-01-05,6303,3867
2026-01-06,6223,3607
2026-01-07,6125,3470
2026-01-08,5455,3212
2026-01-09,5672,3066
2026-01-10,5754,2978
2026-01-11,5985,3559
2026-01-12,6480,3575
2026-01-13,6442,3777
2026-01-14,6442,3530
2026-01-15,5805,3421
2026-01-16,5436,3007
2026-01-17,5893,3317
2026-01-18,6386,3581
2026-01-19,6802,3905
2026-01-20,6202,4192
2026-01-21,6070,3218
2026-01-22,5288,3441
2026-01-23,5458,3074
2026-01-24,5753,2890
2026-01-25,5982,3679
2026-01-26,6994,4012
2026-01-27,6391,3727
2026-01-28,5918,3686
2026-01-29,5983,3372
2026-01-30,5589,3310
2026-01-31,5807,3458
2026-02-01,6127,3586
2026-02-02,6502,3822
2026-02-03,5890,4064
2026-02-04,6041,3618
2026-02-05,5649,3576
2026-02-06,5454,3066
2026-02-07,5522,3610
2026-02-08,6173,3672
2026-02-09,6623,3679
2026-02-10,6201,3396
2026-02-11,6478,3658
2026-02-12,6016,3162
2026-02-13,5712,3297
2026-02-14,5245,3586
2026-02-15,6196,3564
2026-02-16,6481,3731
2026-02-17,6843,3894
2026-02-18,6822,3722
2026-02-19,6331,2933
2026-02-20,5620,3292
2026-02-21,5684,3427
2026-02-22,6267,3487
2026-02-23,6136,3970
2026-02-24,6134,3807
2026-02-25,6159,3825
2026-02-26,6235,3867
2026-02-27,5501,3232
2026-02-28,6149,2922
2026-03-01,5255,3478
2026-03-02,6008,3436
